"driver_mut" "ProjectName" "sample" "CLASS" "indel_n"
"206" "BRCA2" NA "fc8130e3-01ba-c740-e040-11ac0c483291" "MMEJ" 470
"207" "CTR" NA "08227616-02a5-46e8-9db1-f2d1d691ab23" "cNHEJ" 15
"208" "CTR" NA "08227616-02a5-46e8-9db1-f2d1d691ab23" "MMEJ" 64
"209" "CTR" NA "1727e88b-df0a-4af2-9191-8c6061d98ad0" "cNHEJ" 8
"210" "CTR" NA "1727e88b-df0a-4af2-9191-8c6061d98ad0" "MMEJ" 31
"211" "CTR" NA "190eb791-383d-4e27-870d-e470630843e7" "cNHEJ" 18
"212" "CTR" NA "190eb791-383d-4e27-870d-e470630843e7" "MMEJ" 49
"213" "CTR" NA "1aff91a6-1b0f-4575-8f4b-4e064a50b886" "cNHEJ" 112
"214" "CTR" NA "1aff91a6-1b0f-4575-8f4b-4e064a50b886" "MMEJ" 126
"215" "CTR" NA "1fff8b62-534b-4d71-a65f-e5f93b8b50ed" "cNHEJ" 34
"216" "CTR" NA "1fff8b62-534b-4d71-a65f-e5f93b8b50ed" "MMEJ" 56
"217" "CTR" NA "21205681-a0c7-48d0-81d4-0b7ef31158cf" "cNHEJ" 12
"218" "CTR" NA "21205681-a0c7-48d0-81d4-0b7ef31158cf" "MMEJ" 42
"219" "CTR" NA "3e604a1c-b95f-44ff-9723-e2fac845da3b" "cNHEJ" 27
"220" "CTR" NA "3e604a1c-b95f-44ff-9723-e2fac845da3b" "MMEJ" 66
"221" "CTR" NA "5046f1b4-9d95-4841-ba30-691fa44719a2" "cNHEJ" 42
"222" "CTR" NA "5046f1b4-9d95-4841-ba30-691fa44719a2" "MMEJ" 124
"223" "CTR" NA "54e78de0-d357-4125-a904-ab35e461572b" "cNHEJ" 16
"224" "CTR" NA "54e78de0-d357-4125-a904-ab35e461572b" "MMEJ" 64
"225" "CTR" NA "7e584ff6-0b81-4f85-81da-b8117afee326" "cNHEJ" 18
"226" "CTR" NA "7e584ff6-0b81-4f85-81da-b8117afee326" "MMEJ" 31
"227" "CTR" NA "8294a969-59a1-4d3b-895b-f07e96bf9f7a" "cNHEJ" 10
"228" "CTR" NA "8294a969-59a1-4d3b-895b-f07e96bf9f7a" "MMEJ" 27
"229" "CTR" NA "878a7fe7-20ff-4651-9587-b4d6fd42e929" "cNHEJ" 14
"230" "CTR" NA "878a7fe7-20ff-4651-9587-b4d6fd42e929" "MMEJ" 32
"231" "CTR" NA "9988eb07-01f6-4f83-8699-bb63e0525f08" "cNHEJ" 18
"232" "CTR" NA "9988eb07-01f6-4f83-8699-bb63e0525f08" "MMEJ" 44
"233" "CTR" NA "a0fe80e0-e3ac-485b-8a1a-4c80c101b874" "cNHEJ" 15
"234" "CTR" NA "a0fe80e0-e3ac-485b-8a1a-4c80c101b874" "MMEJ" 44
"235" "CTR" NA "a315b798-f037-48d5-91ed-e733e3bbd6ee" "cNHEJ" 28
